faz_id,population_2000,population_2010,population_2020,population_2030,population_2040
4005.0,11067.0,12225.0,15563.0,17075.0,19138.0
4230.0,9434.0,9900.0,11410.0,12818.0,13604.0
3815.0,17850.0,18558.0,20019.0,20402.0,20689.0
3705.0,29326.0,28918.0,31519.0,32835.0,36626.0
3900.0,4876.0,5083.0,6219.0,7155.0,7786.0
4110.0,16745.0,18280.0,20020.0,22242.0,27318.0
3416.0,21171.0,23211.0,24573.0,25550.0,28109.0
3413.0,6436.0,7698.0,9256.0,11219.0,12222.0
3706.0,15451.0,15498.0,18248.0,19194.0,19505.0
3600.0,15874.0,18768.0,20746.0,22301.0,27251.0
3415.0,20213.0,22694.0,28009.0,31666.0,34778.0
3320.0,24313.0,27599.0,31388.0,33967.0,36750.0
3505.0,32762.0,35778.0,41356.0,45499.0,47802.0
3414.0,22931.0,24195.0,28050.0,29507.0,29970.0
6900.0,7188.0,7663.0,8280.0,9716.0,11187.0
2940.0,11987.0,14062.0,16855.0,22042.0,26900.0
2216.0,15733.0,17726.0,19567.0,21889.0,23477.0
3046.0,21896.0,22171.0,23859.0,27635.0,30453.0
2225.0,11406.0,13346.0,15966.0,19465.0,24194.0
3426.0,15264.0,17699.0,21415.0,24912.0,26815.0
3427.0,16805.0,21527.0,24623.0,27489.0,30071.0
3045.0,25417.0,25797.0,28615.0,30500.0,31836.0
3310.0,13805.0,19059.0,21861.0,26394.0,34495.0
3030.0,28951.0,34072.0,41589.0,50576.0,55905.0
3130.0,14573.0,15026.0,16613.0,17381.0,18467.0
3010.0,41029.0,39803.0,43126.0,46391.0,49101.0
3020.0,21529.0,22151.0,23838.0,24907.0,28737.0
3425.0,14252.0,17502.0,19620.0,22949.0,24964.0
2100.0,17678.0,18180.0,20221.0,21316.0,22006.0
1606.0,11784.0,11633.0,12517.0,12961.0,13406.0
2215.0,15003.0,16677.0,18316.0,19959.0,20854.0
1720.0,24933.0,25258.0,27585.0,28862.0,30542.0
3120.0,22953.0,23254.0,24816.0,25182.0,30418.0
1900.0,249.0,750.0,921.0,912.0,914.0
3110.0,7498.0,8495.0,9483.0,9823.0,9773.0
3200.0,19129.0,19206.0,20764.0,23033.0,25425.0
1605.0,16017.0,16012.0,17031.0,17406.0,17919.0
2000.0,6314.0,10298.0,13038.0,15128.0,16788.0
1820.0,5182.0,6236.0,6991.0,8564.0,10766.0
1200.0,14003.0,15332.0,17424.0,19581.0,20374.0
1710.0,19791.0,20550.0,22124.0,23126.0,26791.0
