faz_id,households_2000,households_2010,households_2020,households_2030,households_2040
5425.0,14212.0,15578.0,17996.0,19653.0,22575.0
5305.0,10270.0,11149.0,12854.0,13295.0,14409.0
5426.0,4803.0,7465.0,8167.0,8753.0,9783.0
6226.0,12640.0,13376.0,14396.0,14625.0,15094.0
6126.0,5034.0,5146.0,5688.0,5791.0,6000.0
6224.0,9271.0,9717.0,10234.0,10347.0,11167.0
6216.0,6135.0,6379.0,6811.0,6910.0,6912.0
6316.0,14066.0,15472.0,16596.0,16926.0,17372.0
6215.0,11069.0,11153.0,12860.0,13094.0,13567.0
5100.0,3082.0,3201.0,3512.0,3540.0,3538.0
6213.0,8762.0,9174.0,9810.0,10134.0,10567.0
9005.0,1667.0,2072.0,2230.0,2627.0,3484.0
6124.0,13552.0,14008.0,15198.0,15477.0,15653.0
6125.0,4730.0,4895.0,5328.0,5433.0,5744.0
6214.0,213.0,229.0,235.0,238.0,237.0
5415.0,4842.0,5306.0,6695.0,7812.0,9805.0
5205.0,5513.0,5552.0,6555.0,9835.0,12072.0
9916.0,3590.0,3988.0,5690.0,6797.0,7664.0
9913.0,2509.0,3152.0,3394.0,3479.0,3559.0
9915.0,5089.0,5456.0,8145.0,10112.0,11541.0
4606.0,6759.0,7692.0,9071.0,10194.0,11331.0
6115.0,10156.0,10475.0,11715.0,11993.0,12557.0
4820.0,2910.0,2992.0,3228.0,3297.0,3357.0
9017.0,1544.0,1595.0,1813.0,1987.0,2531.0
6123.0,6611.0,9500.0,11495.0,12771.0,17526.0
6114.0,14128.0,15869.0,17268.0,17894.0,18411.0
4607.0,3153.0,8364.0,9508.0,10862.0,12945.0
6505.0,1919.0,4606.0,4951.0,5352.0,6106.0
5020.0,10161.0,10248.0,9995.0,10182.0,10399.0
6113.0,18890.0,21707.0,25966.0,27588.0,28487.0
5010.0,7975.0,8027.0,8178.0,8415.0,8592.0
6020.0,6775.0,11002.0,12534.0,14607.0,16241.0
4900.0,1310.0,4172.0,9373.0,12427.0,14680.0
6010.0,4463.0,6744.0,8440.0,9724.0,10842.0
4400.0,8442.0,8670.0,9653.0,9735.0,9838.0
9900.0,2890.0,2969.0,3500.0,4324.0,5219.0
9904.0,4428.0,4808.0,5781.0,6307.0,6947.0
9902.0,9216.0,9484.0,11575.0,13067.0,14791.0
4810.0,4122.0,4354.0,4996.0,5227.0,5538.0
5720.0,16648.0,17451.0,19038.0,19481.0,19965.0
9901.0,2308.0,2293.0,2877.0,3642.0,5258.0
5826.0,1938.0,2349.0,2753.0,3040.0,3170.0
5825.0,1374.0,1735.0,2314.0,2524.0,2533.0
5925.0,9013.0,9674.0,10561.0,11087.0,11666.0
9015.0,4818.0,5473.0,5946.0,6650.0,7408.0
4506.0,6369.0,6596.0,7275.0,7723.0,8430.0
