faz_id	households_2020	households_2030	households_2040
4506.0	7275.0	7723.0	8430.0
4605.0	10290.0	11055.0	11843.0
9002.0	14253.0	16565.0	18860.0
4226.0	7117.0	7726.0	8160.0
4505.0	5959.0	6078.0	6177.0
4225.0	6817.0	7210.0	8171.0
5716.0	11023.0	11235.0	11980.0
5916.0	14357.0	14794.0	15768.0
4300.0	5022.0	5412.0	5873.0
5815.0	2163.0	2239.0	2409.0
9004.0	6871.0	7935.0	9834.0
5715.0	8160.0	8226.0	8258.0
3330.0	4731.0	5102.0	5911.0
6506.0	4721.0	5239.0	5887.0
5915.0	7921.0	8202.0	8485.0
3905.0	4313.0	4700.0	5079.0
4130.0	8248.0	8449.0	8681.0
6930.0	4551.0	4535.0	4580.0
3825.0	8091.0	8679.0	9462.0
4120.0	8677.0	9117.0	9812.0
3816.0	10185.0	10764.0	11708.0
4210.0	9574.0	10681.0	11735.0
9016.0	4465.0	5288.0	6446.0
4005.0	6034.0	6587.0	7728.0
4230.0	4021.0	4461.0	4865.0
3815.0	8394.0	8524.0	8591.0
3705.0	13029.0	13657.0	15918.0
3900.0	2884.0	3255.0	3639.0
4110.0	8381.0	9219.0	11615.0
3416.0	9396.0	9773.0	11017.0
3413.0	3311.0	3910.0	4395.0
3706.0	7168.0	7439.0	7621.0
3600.0	8881.0	9446.0	12159.0
3415.0	10481.0	11701.0	13348.0
3320.0	10417.0	11016.0	12072.0
3505.0	17182.0	18662.0	20285.0
3414.0	10103.0	10685.0	11283.0
6900.0	3092.0	3479.0	4333.0
2940.0	6563.0	8268.0	10258.0
2216.0	7228.0	7997.0	8797.0
3046.0	10138.0	11504.0	13862.0
2225.0	6401.0	7554.0	9594.0
3426.0	7243.0	8370.0	9355.0
3427.0	8581.0	9257.0	9962.0
3045.0	11338.0	11996.0	12743.0
3310.0	8057.0	9552.0	13023.0
3030.0	15049.0	17967.0	20276.0
3130.0	7373.0	7705.0	8489.0
3010.0	16355.0	17631.0	19194.0
3020.0	10396.0	10872.0	13238.0
3425.0	7102.0	8196.0	9313.0
2100.0	7472.0	7852.0	8251.0
1606.0	5525.0	5682.0	5914.0
2215.0	7254.0	7780.0	8249.0
1720.0	11614.0	12232.0	13460.0
3120.0	9867.0	10125.0	12782.0
1900.0	530.0	530.0	526.0
3110.0	3507.0	3663.0	3734.0
3200.0	7915.0	8687.0	9979.0
1605.0	7883.0	7926.0	8038.0
2000.0	5555.0	6296.0	7028.0
1820.0	4340.0	5448.0	6902.0
1200.0	6832.0	7496.0	7949.0
1710.0	9267.0	9800.0	12104.0
1810.0	2174.0	4203.0	7126.0
900.0	4348.0	4759.0	5193.0
806.0	11708.0	13527.0	16106.0
1506.0	9494.0	9898.0	10293.0
1410.0	5950.0	6367.0	7320.0
1505.0	8004.0	8368.0	8740.0
1330.0	8084.0	8625.0	8893.0
1000.0	4211.0	4412.0	4534.0
1320.0	7302.0	7332.0	7355.0
1420.0	5714.0	6324.0	8500.0
1130.0	2665.0	3097.0	3382.0
1116.0	7333.0	7986.0	8696.0
1310.0	10497.0	10762.0	10840.0
805.0	7933.0	9193.0	9725.0
1115.0	5163.0	6421.0	7026.0
205.0	5021.0	5130.0	5238.0
136.0	4997.0	5103.0	5188.0
1120.0	13441.0	15124.0	17255.0
705.0	7027.0	8341.0	12953.0
120.0	4808.0	5070.0	5373.0
325.0	9089.0	9919.0	10570.0
135.0	6788.0	7099.0	7161.0
706.0	4780.0	5355.0	6577.0
206.0	5927.0	6052.0	6186.0
2910.0	1310.0	1532.0	2066.0
315.0	5951.0	6167.0	6437.0
2935.0	1245.0	1387.0	1594.0
605.0	8462.0	9854.0	11058.0
606.0	8209.0	10304.0	12712.0
506.0	8797.0	10415.0	13293.0
110.0	2145.0	2205.0	2461.0
505.0	16579.0	20085.0	23957.0
2936.0	5723.0	5877.0	6212.0
405.0	8288.0	9696.0	11491.0
2926.0	8781.0	9457.0	11045.0
2925.0	6045.0	6769.0	9182.0
2927.0	2313.0	3003.0	5337.0
