faz_id	jobs_2020	jobs_2030	jobs_2040
3120.0	16549.0	18174.0	20517.0
1900.0	14559.0	17112.0	19831.0
3110.0	3224.0	3456.0	3735.0
3200.0	7696.0	8210.0	8927.0
1605.0	7660.0	7899.0	8523.0
2000.0	14623.0	15490.0	16173.0
1820.0	23417.0	26607.0	37491.0
1200.0	5383.0	6042.0	7776.0
1710.0	13027.0	13988.0	15665.0
1810.0	13539.0	15764.0	21775.0
900.0	11623.0	12074.0	13417.0
806.0	4103.0	5141.0	5505.0
1506.0	4410.0	4915.0	5719.0
1410.0	15263.0	16080.0	18790.0
1505.0	6201.0	7176.0	8433.0
1330.0	5944.0	6225.0	6584.0
1000.0	1963.0	2119.0	2237.0
1320.0	4874.0	5063.0	5759.0
1420.0	14210.0	15849.0	21244.0
1130.0	2574.0	3890.0	4320.0
1116.0	8294.0	9294.0	10423.0
1310.0	6147.0	6371.0	7375.0
805.0	5153.0	5588.0	5884.0
1115.0	4617.0	5116.0	5574.0
205.0	14234.0	14537.0	15910.0
136.0	4456.0	4497.0	5271.0
1120.0	12860.0	14310.0	17931.0
705.0	2965.0	3869.0	5861.0
120.0	1497.0	1622.0	1711.0
325.0	6820.0	7198.0	7705.0
135.0	3016.0	3153.0	3327.0
706.0	3717.0	3956.0	4279.0
206.0	8204.0	8470.0	9274.0
2910.0	1011.0	1152.0	1306.0
315.0	7060.0	8405.0	8895.0
2935.0	21632.0	22952.0	24634.0
605.0	4513.0	4985.0	5908.0
606.0	4213.0	4995.0	5447.0
506.0	5911.0	7875.0	11725.0
110.0	1218.0	1345.0	1566.0
505.0	11098.0	14013.0	19655.0
2936.0	2191.0	2882.0	3298.0
405.0	4658.0	5284.0	6267.0
2926.0	2759.0	3182.0	3415.0
2925.0	1992.0	2335.0	2676.0
2927.0	1682.0	2103.0	3039.0
