faz_id	multifamily_households_2000	multifamily_households_2010	multifamily_households_2020	multifamily_households_2025	multifamily_households_2030	multifamily_households_2035	multifamily_households_2040
1810.0	1197.0	1545.0	1588.0	1667.0	1849.0	2526.0	3081.0
900.0	1289.0	1547.0	1602.0	1619.0	1676.0	1796.0	2077.0
806.0	134.0	538.0	661.0	716.0	754.0	830.0	1089.0
1506.0	3333.0	3575.0	3681.0	3702.0	3742.0	3784.0	3847.0
1410.0	2507.0	2802.0	2916.0	3006.0	3184.0	3432.0	3693.0
1505.0	3461.0	3795.0	3952.0	4000.0	4047.0	4106.0	4307.0
1330.0	1412.0	1492.0	1662.0	1734.0	1787.0	1803.0	1817.0
1000.0	201.0	297.0	295.0	292.0	296.0	297.0	299.0
1320.0	933.0	1397.0	1417.0	1419.0	1421.0	1423.0	1426.0
1420.0	1191.0	1866.0	2044.0	2252.0	2820.0	4567.0	7336.0
1130.0	808.0	872.0	877.0	871.0	875.0	907.0	1176.0
1116.0	1579.0	1815.0	1923.0	1950.0	2088.0	2407.0	2767.0
1310.0	1154.0	1557.0	1576.0	1567.0	1572.0	1574.0	1583.0
805.0	179.0	311.0	334.0	372.0	450.0	588.0	816.0
1115.0	836.0	971.0	984.0	970.0	981.0	994.0	1025.0
205.0	2963.0	3296.0	3440.0	3461.0	3488.0	3560.0	3639.0
136.0	2326.0	2461.0	2550.0	2572.0	2593.0	2617.0	2655.0
1120.0	3302.0	3876.0	4034.0	4166.0	4243.0	4489.0	5090.0
705.0	135.0	243.0	251.0	260.0	269.0	360.0	518.0
120.0	1340.0	1438.0	1536.0	1543.0	1577.0	1618.0	1648.0
325.0	4330.0	4668.0	4936.0	4770.0	4816.0	4881.0	5068.0
135.0	655.0	913.0	917.0	914.0	920.0	934.0	943.0
706.0	168.0	286.0	296.0	292.0	294.0	297.0	297.0
206.0	2775.0	3355.0	3426.0	3434.0	3450.0	3499.0	3655.0
2910.0	19.0	19.0	19.0	19.0	19.0	19.0	17.0
315.0	1638.0	2004.0	2030.0	2006.0	2019.0	2033.0	2044.0
2935.0	107.0	110.0	110.0	110.0	110.0	110.0	110.0
605.0	661.0	1049.0	1138.0	1109.0	1113.0	1122.0	1130.0
606.0	1293.0	1527.0	1667.0	1664.0	1692.0	1770.0	1902.0
506.0	156.0	499.0	795.0	761.0	775.0	840.0	976.0
110.0	1083.0	1213.0	1223.0	1226.0	1244.0	1318.0	1591.0
505.0	321.0	597.0	1019.0	1059.0	1123.0	1271.0	2126.0
2936.0	207.0	456.0	456.0	456.0	458.0	458.0	458.0
405.0	865.0	1301.0	1266.0	1244.0	1240.0	1247.0	1284.0
2926.0	95.0	158.0	162.0	161.0	162.0	163.0	164.0
2925.0	48.0	71.0	71.0	72.0	72.0	73.0	73.0
2927.0	62.0	185.0	195.0	194.0	191.0	200.0	288.0
