FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
2927	3074	3145	3215	3286	3356	3427	3497	3568	3638	3709	3779	3913	4046	4180	4313	4447	4580	4714	4847	4981	5114	5223	5332	5442	5551	5660	5769	5878	5988	6097	6206
2935	16568	16613	16658	16703	16748	16793	16838	16883	16928	16973	17018	17010	17001	16993	16984	16976	16967	16959	16950	16942	16933	16598	16264	15929	15594	15260	14925	14590	14255	13921	13586
2936	573	578	583	588	593	598	603	608	613	618	623	776	930	1083	1236	1390	1543	1696	1849	2003	2156	2744	3332	3920	4508	5096	5684	6272	6860	7448	8036
2940	5488	5734	5979	6225	6470	6716	6961	7207	7452	7698	7943	8356	8769	9182	9595	10009	10422	10835	11248	11661	12074	12282	12489	12697	12905	13113	13320	13528	13736	13943	14151
3010	18598	19842	21086	22330	23574	24818	26061	27305	28549	29793	31037	31988	32938	33889	34840	35791	36741	37692	38643	39593	40544	40536	40528	40520	40512	40504	40495	40487	40479	40471	40463
3020	13584	14046	14507	14969	15430	15892	16353	16815	17276	17738	18199	18543	18887	19230	19574	19918	20262	20606	20949	21293	21637	21739	21840	21942	22043	22145	22247	22348	22450	22551	22653
3030	17470	18152	18834	19515	20197	20879	21561	22243	22924	23606	24288	24721	25154	25587	26020	26453	26886	27319	27752	28185	28618	29229	29840	30451	31062	31673	32284	32895	33506	34117	34728
3045	16822	17406	17990	18575	19159	19743	20327	20911	21496	22080	22664	22961	23257	23554	23850	24147	24443	24740	25036	25333	25629	25726	25823	25920	26017	26115	26212	26309	26406	26503	26600
3046	13752	14375	14998	15622	16245	16868	17491	18114	18738	19361	19984	20210	20436	20663	20889	21115	21341	21567	21794	22020	22246	22317	22387	22458	22528	22599	22669	22740	22810	22881	22951
3110	3502	3711	3921	4130	4339	4549	4758	4967	5176	5386	5595	5793	5992	6190	6389	6587	6785	6984	7182	7381	7579	7707	7836	7964	8092	8221	8349	8477	8605	8734	8862
3120	14345	14732	15119	15506	15893	16280	16667	17054	17441	17828	18215	18696	19177	19658	20139	20621	21102	21583	22064	22545	23026	23104	23182	23260	23338	23416	23493	23571	23649	23727	23805
3130	11460	11732	12004	12276	12548	12820	13092	13364	13636	13908	14180	14271	14361	14452	14542	14633	14723	14814	14904	14995	15085	15117	15149	15181	15213	15245	15276	15308	15340	15372	15404
3200	12708	12930	13151	13373	13594	13816	14038	14259	14481	14702	14924	15348	15773	16197	16621	17046	17470	17894	18318	18743	19167	19133	19100	19066	19033	18999	18965	18932	18898	18865	18831
3310	6858	7077	7296	7516	7735	7954	8173	8392	8612	8831	9050	9461	9872	10282	10693	11104	11515	11926	12336	12747	13158	13763	14368	14974	15579	16184	16789	17394	18000	18605	19210
3320	9307	10007	10706	11406	12105	12805	13504	14204	14903	15603	16302	17085	17868	18651	19434	20217	20999	21782	22565	23348	24131	24475	24819	25163	25507	25851	26194	26538	26882	27226	27570
3330	9023	9225	9426	9628	9829	10031	10233	10434	10636	10837	11039	11156	11273	11389	11506	11623	11740	11857	11973	12090	12207	12205	12203	12202	12200	12198	12196	12194	12193	12191	12189
3413	5468	5466	5464	5463	5461	5459	5457	5455	5454	5452	5450	5565	5680	5796	5911	6026	6141	6256	6372	6487	6602	6769	6935	7102	7268	7435	7601	7768	7934	8101	8267
3414	12827	13351	13875	14399	14923	15447	15970	16494	17018	17542	18066	18580	19093	19607	20121	20635	21148	21662	22176	22689	23203	23424	23644	23865	24085	24306	24527	24747	24968	25188	25409
3415	10857	11306	11755	12203	12652	13101	13550	13999	14447	14896	15345	15841	16337	16833	17329	17825	18321	18817	19313	19809	20305	20596	20887	21179	21470	21761	22052	22343	22635	22926	23217
3416	13953	14545	15136	15728	16319	16911	17502	18094	18685	19277	19868	19966	20065	20163	20262	20360	20458	20557	20655	20754	20852	21075	21298	21521	21744	21967	22190	22413	22636	22859	23082
3425	6960	7380	7800	8221	8641	9061	9481	9901	10322	10742	11162	11451	11739	12028	12317	12606	12894	13183	13472	13760	14049	14400	14751	15102	15453	15804	16155	16506	16857	17208	17559
3426	6930	7271	7613	7954	8295	8637	8978	9319	9660	10002	10343	10860	11376	11893	12410	12927	13443	13960	14477	14993	15510	15886	16262	16638	17014	17390	17766	18142	18518	18894	19270
3427	10196	10498	10801	11103	11406	11708	12010	12313	12615	12918	13220	13592	13964	14337	14709	15081	15453	15825	16198	16570	16942	17468	17994	18520	19046	19573	20099	20625	21151	21677	22203
3505	16777	17777	18777	19778	20778	21778	22778	23778	24779	25779	26779	27393	28006	28620	29234	29848	30461	31075	31689	32302	32916	33349	33781	34214	34647	35080	35512	35945	36378	36810	37243
3600	9552	9824	10095	10367	10638	10910	11182	11453	11725	11996	12268	12690	13112	13533	13955	14377	14799	15221	15642	16064	16486	16862	17239	17615	17992	18368	18744	19121	19497	19874	20250
3705	26319	26347	26376	26404	26432	26461	26489	26517	26545	26574	26602	26878	27154	27431	27707	27983	28259	28535	28812	29088	29364	29448	29532	29616	29700	29785	29869	29953	30037	30121	30205
3706	14554	14572	14590	14608	14626	14644	14662	14680	14698	14716	14734	14757	14779	14802	14824	14847	14870	14892	14915	14937	14960	14968	14977	14985	14993	15002	15010	15018	15026	15035	15043
3815	17373	17377	17381	17384	17388	17392	17396	17400	17403	17407	17411	17495	17580	17664	17749	17833	17917	18002	18086	18171	18255	18321	18386	18452	18518	18584	18649	18715	18781	18846	18912
3816	18273	18373	18473	18574	18674	18774	18874	18974	19075	19175	19275	19541	19807	20073	20339	20605	20871	21137	21403	21669	21935	21880	21825	21769	21714	21659	21604	21549	21493	21438	21383
3825	13619	13745	13870	13996	14121	14247	14373	14498	14624	14749	14875	15087	15299	15511	15723	15936	16148	16360	16572	16784	16996	17088	17180	17272	17364	17457	17549	17641	17733	17825	17917
3900	3472	3532	3592	3652	3712	3773	3833	3893	3953	4013	4073	4153	4234	4314	4394	4475	4555	4635	4715	4796	4876	4887	4897	4908	4918	4929	4939	4950	4960	4971	4981
3905	5501	5640	5779	5919	6058	6197	6336	6475	6615	6754	6893	6973	7053	7133	7213	7293	7373	7453	7533	7613	7693	7811	7928	8046	8163	8281	8398	8516	8633	8751	8868
4005	10207	10219	10230	10242	10253	10265	10277	10288	10300	10311	10323	10405	10488	10570	10652	10735	10817	10899	10981	11064	11146	11227	11308	11389	11470	11552	11633	11714	11795	11876	11957
4110	11052	11443	11834	12225	12616	13008	13399	13790	14181	14572	14963	15131	15300	15468	15637	15805	15973	16142	16310	16479	16647	16830	17014	17197	17380	17564	17747	17930	18113	18297	18480
4120	12176	12340	12505	12669	12833	12998	13162	13326	13490	13655	13819	14110	14402	14693	14984	15276	15567	15858	16149	16441	16732	17014	17296	17577	17859	18141	18423	18705	18986	19268	19550
4130	9592	9717	9842	9967	10092	10217	10342	10467	10592	10717	10842	11020	11197	11375	11552	11730	11907	12085	12262	12440	12617	13067	13517	13968	14418	14868	15318	15768	16219	16669	17119
4210	10206	10453	10700	10946	11193	11440	11687	11934	12180	12427	12674	12969	13264	13558	13853	14148	14443	14738	15032	15327	15622	16414	17205	17997	18789	19581	20372	21164	21956	22747	23539
4225	1411	1647	1882	2118	2353	2589	2824	3060	3295	3531	3766	4477	5189	5900	6612	7323	8034	8746	9457	10169	10880	11446	12011	12577	13142	13708	14274	14839	15405	15970	16536
4226	11525	11611	11698	11784	11870	11957	12043	12129	12215	12302	12388	12582	12776	12969	13163	13357	13551	13745	13938	14132	14326	14405	14483	14562	14640	14719	14798	14876	14955	15033	15112
4230	8824	8861	8897	8934	8970	9007	9044	9080	9117	9153	9190	9216	9243	9269	9295	9322	9348	9374	9400	9427	9453	9479	9506	9532	9559	9585	9611	9638	9664	9691	9717
4300	6154	6377	6600	6824	7047	7270	7493	7716	7940	8163	8386	8568	8750	8932	9114	9296	9478	9660	9842	10024	10206	10183	10160	10136	10113	10090	10067	10044	10020	9997	9974
4400	21436	21366	21295	21225	21155	21085	21014	20944	20874	20803	20733	20835	20938	21040	21143	21245	21347	21450	21552	21655	21757	21844	21932	22019	22107	22194	22281	22369	22456	22544	22631
4505	10315	10696	11076	11457	11837	12218	12598	12979	13359	13740	14120	14233	14345	14458	14570	14683	14796	14908	15021	15133	15246	15288	15330	15372	15414	15456	15498	15540	15582	15624	15666
4506	12611	12905	13199	13494	13788	14082	14376	14670	14965	15259	15553	15584	15615	15646	15677	15708	15739	15770	15801	15832	15863	15898	15933	15968	16003	16038	16073	16108	16143	16178	16213
4605	3777	4468	5158	5849	6539	7230	7920	8611	9301	9992	10682	11610	12538	13465	14393	15321	16249	17177	18104	19032	19960	20347	20735	21122	21510	21897	22284	22672	23059	23447	23834
4606	5668	6712	7756	8800	9844	10888	11932	12976	14020	15064	16108	16545	16982	17418	17855	18292	18729	19166	19602	20039	20476	20785	21093	21402	21710	22019	22328	22636	22945	23253	23562
4607	3003	3185	3367	3548	3730	3912	4094	4276	4457	4639	4821	5337	5854	6370	6887	7403	7919	8436	8952	9469	9985	11570	13155	14739	16324	17909	19494	21079	22663	24248	25833
4706	4033	4357	4682	5006	5330	5655	5979	6303	6627	6952	7276	7675	8074	8473	8872	9271	9669	10068	10467	10866	11265	11482	11699	11915	12132	12349	12566	12783	12999	13216	13433
4810	8528	8517	8505	8494	8482	8471	8459	8448	8436	8425	8413	8461	8508	8556	8604	8652	8699	8747	8795	8842	8890	8937	8984	9031	9078	9125	9172	9219	9266	9313	9360
4820	6363	6410	6456	6503	6549	6596	6643	6689	6736	6782	6829	6838	6846	6855	6863	6872	6881	6889	6898	6906	6915	6982	7049	7116	7183	7250	7317	7384	7451	7518	7585
4900	784	799	814	829	844	860	875	890	905	920	935	1064	1193	1322	1451	1580	1709	1838	1967	2096	2225	2711	3197	3683	4169	4656	5142	5628	6114	6600	7086
5010	14128	14316	14504	14692	14880	15069	15257	15445	15633	15821	16009	16205	16401	16597	16793	16989	17185	17381	17577	17773	17969	18081	18193	18306	18418	18530	18642	18754	18867	18979	19091
5020	24493	24459	24426	24392	24358	24325	24291	24257	24223	24190	24156	24191	24226	24260	24295	24330	24365	24400	24434	24469	24504	24596	24688	24780	24872	24964	25055	25147	25239	25331	25423
5100	7993	7937	7882	7826	7770	7715	7659	7603	7547	7492	7436	7427	7417	7408	7398	7389	7380	7370	7361	7351	7342	7341	7340	7339	7338	7337	7336	7335	7334	7333	7332
5205	7772	8112	8453	8793	9133	9474	9814	10154	10494	10835	11175	11231	11287	11344	11400	11456	11512	11568	11625	11681	11737	11791	11844	11898	11951	12005	12058	12112	12165	12219	12272
5305	16263	16624	16986	17347	17708	18070	18431	18792	19153	19515	19876	20130	20385	20639	20893	21148	21402	21656	21910	22165	22419	22669	22920	23170	23420	23671	23921	24171	24421	24672	24922
5306	16582	16913	17244	17575	17906	18238	18569	18900	19231	19562	19893	19981	20069	20157	20245	20333	20420	20508	20596	20684	20772	20860	20948	21036	21124	21212	21300	21388	21476	21564	21652
5415	8713	8993	9272	9552	9831	10111	10391	10670	10950	11229	11509	11625	11741	11856	11972	12088	12204	12320	12435	12551	12667	12810	12952	13095	13238	13381	13523	13666	13809	13951	14094
5425	17788	18688	19587	20487	21386	22286	23185	24085	24984	25884	26783	27450	28116	28783	29449	30116	30782	31449	32115	32782	33448	33794	34139	34485	34831	35177	35522	35868	36214	36559	36905
5426	4876	5250	5625	5999	6374	6748	7122	7497	7871	8246	8620	9097	9573	10050	10526	11003	11479	11956	12432	12909	13385	14113	14842	15570	16298	17027	17755	18483	19211	19940	20668
5515	18378	18856	19334	19813	20291	20769	21247	21725	22204	22682	23160	23194	23227	23261	23294	23328	23362	23395	23429	23462	23496	23511	23525	23540	23555	23570	23584	23599	23614	23628	23643
5525	7282	7483	7685	7886	8088	8289	8490	8692	8893	9095	9296	9583	9871	10158	10445	10733	11020	11307	11594	11882	12169	12312	12454	12597	12739	12882	13024	13167	13309	13452	13594
5535	12269	12693	13116	13540	13963	14387	14810	15234	15657	16081	16504	16848	17192	17537	17881	18225	18569	18913	19258	19602	19946	20229	20512	20795	21078	21361	21643	21926	22209	22492	22775
5545	5599	6144	6689	7235	7780	8325	8870	9415	9961	10506	11051	11109	11166	11224	11282	11340	11397	11455	11513	11570	11628	11790	11951	12113	12275	12437	12598	12760	12922	13083	13245
5546	8322	8970	9619	10267	10915	11564	12212	12860	13508	14157	14805	14865	14924	14984	15043	15103	15163	15222	15282	15341	15401	15384	15368	15351	15335	15318	15301	15285	15268	15252	15235
5600	8309	8521	8732	8944	9155	9367	9579	9790	10002	10213	10425	10618	10811	11005	11198	11391	11584	11777	11971	12164	12357	12518	12678	12839	12999	13160	13320	13481	13641	13802	13962
5715	16780	16741	16701	16662	16623	16584	16544	16505	16466	16426	16387	16380	16373	16367	16360	16353	16346	16339	16333	16326	16319	16339	16360	16380	16401	16421	16441	16462	16482	16503	16523
5716	17562	17922	18282	18642	19002	19362	19721	20081	20441	20801	21161	21472	21783	22093	22404	22715	23026	23337	23647	23958	24269	24418	24566	24715	24864	25013	25161	25310	25459	25607	25756
5720	31420	31490	31559	31629	31699	31769	31838	31908	31978	32047	32117	32214	32311	32408	32505	32603	32700	32797	32894	32991	33088	33285	33482	33678	33875	34072	34269	34466	34662	34859	35056
5815	3816	3835	3853	3872	3890	3909	3928	3946	3965	3983	4002	4082	4162	4242	4322	4403	4483	4563	4643	4723	4803	4824	4845	4865	4886	4907	4928	4949	4969	4990	5011
5825	1201	1241	1281	1321	1361	1402	1442	1482	1522	1562	1602	1636	1671	1705	1740	1774	1808	1843	1877	1912	1946	1945	1944	1942	1941	1940	1939	1938	1936	1935	1934
5826	3587	3592	3598	3603	3608	3614	3619	3624	3629	3635	3640	3705	3770	3835	3900	3965	4029	4094	4159	4224	4289	4337	4385	4433	4481	4530	4578	4626	4674	4722	4770
5915	16407	16491	16574	16658	16741	16825	16908	16992	17075	17159	17242	17480	17719	17957	18196	18434	18672	18911	19149	19388	19626	19640	19653	19667	19680	19694	19707	19721	19734	19748	19761
5916	29273	29553	29833	30113	30393	30673	30953	31233	31513	31793	32073	32321	32569	32817	33065	33313	33561	33809	34057	34305	34553	34801	35049	35298	35546	35794	36042	36290	36539	36787	37035
5925	23185	23179	23173	23168	23162	23156	23150	23144	23139	23133	23127	23262	23397	23532	23667	23803	23938	24073	24208	24343	24478	24615	24753	24890	25027	25165	25302	25439	25576	25714	25851
6010	4182	4270	4358	4447	4535	4623	4711	4799	4888	4976	5064	5196	5327	5459	5590	5722	5853	5985	6116	6248	6379	6639	6898	7158	7418	7678	7937	8197	8457	8716	8976
6020	3796	3877	3959	4040	4122	4203	4284	4366	4447	4529	4610	5038	5466	5894	6322	6750	7177	7605	8033	8461	8889	9374	9859	10345	10830	11315	11800	12285	12771	13256	13741
6113	22993	22915	22837	22758	22680	22602	22524	22446	22367	22289	22211	22691	23170	23650	24129	24609	25089	25568	26048	26527	27007	27208	27409	27611	27812	28013	28214	28415	28617	28818	29019
6114	26999	27084	27170	27255	27340	27426	27511	27596	27681	27767	27852	28036	28220	28404	28588	28773	28957	29141	29325	29509	29693	29991	30289	30588	30886	31184	31482	31780	32079	32377	32675
6115	20102	20141	20180	20219	20258	20297	20335	20374	20413	20452	20491	20480	20469	20458	20447	20436	20424	20413	20402	20391	20380	20421	20462	20504	20545	20586	20627	20668	20710	20751	20792
6123	8368	8456	8544	8632	8720	8808	8895	8983	9071	9159	9247	9390	9532	9675	9817	9960	10102	10245	10387	10530	10672	11190	11708	12226	12744	13262	13780	14298	14816	15334	15852
6124	21156	21216	21276	21336	21396	21456	21515	21575	21635	21695	21755	21864	21973	22081	22190	22299	22408	22517	22625	22734	22843	22987	23132	23276	23420	23565	23709	23853	23997	24142	24286
6125	7783	7819	7856	7892	7929	7965	8001	8038	8074	8111	8147	8216	8284	8353	8421	8490	8559	8627	8696	8764	8833	8872	8911	8950	8989	9029	9068	9107	9146	9185	9224
6126	12022	12007	11991	11976	11961	11946	11930	11915	11900	11884	11869	11899	11928	11958	11987	12017	12046	12076	12105	12135	12164	12184	12204	12223	12243	12263	12283	12303	12322	12342	12362
6213	14222	14297	14371	14446	14521	14596	14670	14745	14820	14894	14969	15092	15215	15337	15460	15583	15706	15829	15951	16074	16197	16391	16586	16780	16975	17169	17363	17558	17752	17947	18141
6214	976	968	959	951	942	934	926	917	909	900	892	837	782	726	671	616	561	506	450	395	340	330	320	310	300	291	281	271	261	251	241
6215	18495	18700	18905	19110	19315	19521	19726	19931	20136	20341	20546	20762	20977	21193	21408	21624	21840	22055	22271	22486	22702	22981	23260	23538	23817	24096	24375	24654	24932	25211	25490
6216	13589	13657	13726	13794	13863	13931	13999	14068	14136	14205	14273	14315	14357	14399	14441	14484	14526	14568	14610	14652	14694	14783	14872	14960	15049	15138	15227	15316	15404	15493	15582
6223	21612	21769	21926	22083	22240	22398	22555	22712	22869	23026	23183	23425	23667	23909	24151	24393	24635	24877	25119	25361	25603	25748	25892	26037	26182	26327	26471	26616	26761	26905	27050
6224	19032	19087	19141	19196	19250	19305	19360	19414	19469	19523	19578	19674	19770	19865	19961	20057	20153	20249	20344	20440	20536	20718	20901	21083	21265	21448	21630	21812	21994	22177	22359
6225	13360	13593	13826	14060	14293	14526	14759	14992	15226	15459	15692	15871	16049	16228	16406	16585	16763	16942	17120	17299	17477	17665	17853	18042	18230	18418	18606	18794	18983	19171	19359
6226	27214	27232	27249	27267	27284	27302	27320	27337	27355	27372	27390	27509	27627	27746	27864	27983	28102	28220	28339	28457	28576	28716	28856	28997	29137	29277	29417	29557	29698	29838	29978
6316	22809	22966	23123	23281	23438	23595	23752	23909	24067	24224	24381	24464	24547	24631	24714	24797	24880	24963	25047	25130	25213	25517	25822	26126	26431	26735	27039	27344	27648	27953	28257
6325	31097	31169	31241	31312	31384	31456	31528	31600	31671	31743	31815	31959	32102	32246	32389	32533	32677	32820	32964	33107	33251	33441	33631	33820	34010	34200	34390	34580	34769	34959	35149
6326	17810	18007	18203	18400	18596	18793	18989	19186	19382	19579	19775	19981	20188	20394	20600	20807	21013	21219	21425	21632	21838	21983	22128	22274	22419	22564	22709	22854	23000	23145	23290
6410	31777	32000	32224	32447	32670	32894	33117	33340	33563	33787	34010	34056	34103	34149	34195	34242	34288	34334	34380	34427	34473	34489	34504	34520	34536	34552	34567	34583	34599	34614	34630
