"Jurisdiction"	"TAZ"	"county"	"tract_usim"	"Tract"	"HH_LUV_40"	"HH_Comment_40"	"Emp_LUV_40"	"Emp_Comment_40"	"Comment"	"tract_6_digit"	"tractcity_id"
"Federal Way"		53	53030311	"030311Federal Way"	1761	1610	668	659	"There is not enough capacity to accommodate the PSRC forecasted households."	30311	560
"Federal Way"		53	53030312	"030312Federal Way"	2196	1936	1640	550	"There is not enough capacity to accommodate the PSRC forecasted jobs and households. \n There are two Neighborhood Business (BN) zoned area in this Census Tract."	30312	561
"Federal Way"		53	53030313	"030313Federal Way"	2568	3938	12835	13515	"This includes the Commons, which is zoned CC-C; the BC zoned area east of Pac Hwy; and the Federal Way Market Place Shopping Center. St. Francis\n is also located in this Census Tract. PSRC forecasted households and jobs should be increased. The CC-C is the"	30313	563
"Federal Way"		53	53030314	"030314Federal Way"	2351	2693	6041	4882	"This tract can accommodate more households in the BC zoned areas west of Pac Hwy. \nHowever, it does not have the capacity for the number of jobs forecasted by PSRC."	30314	564
"Federal Way"		53	53030401	"030401Federal Way"	1440	1086	3663	6597	"This is East Campus which has a lot of capacity for jobs."	30401	567
"Federal Way"		53	53030403	"030403Federal Way"	620	385	99	228	"Wild Waves Theme Park is located within this Census Tract. There are presently 36 permanent employees and 871 seasonal employees."	30403	570
"Everett"		61	61040100	"040100Everett"	2545	3534	17041	15438	"ECC, Waterfront Place Central development, student housing potential"	40100	826
"Everett"		61	61040200	"040200Everett"	3710	4474	3224	4677	"new WSU campus - expansion of ECC to west, student housing potential"	40200	828
"Everett"		61	61040300	"040300Everett"	1461	1748	3890	3061	"Providence hospital campus"	40300	829
"Everett"		61	61040400	"040400Everett"	4736	3761	2003	2073		40400	830
"Everett"		61	61040500	"040500Everett"	1104	1033	1125	3179		40500	831
"Everett"		61	61040700	"040700Everett"	7831	10627	23525	22024	"Everett Station, dowtown, Riverfront redevelopment"	40700	833
"Everett"		61	61040800	"040800Everett"	3776	5528	10868	16137		40800	835
"Everett"		61	61040900	"040900Everett"	2186	1329	447	447		40900	836
"Everett"		61	61041000	"041000Everett"	4698	4415	7065	6609		41000	837
"Everett"		61	61041100	"041100Everett"	2833	3233	5095	3287		41100	838
"Everett"		61	61041201	"041201Everett"	1636	1259	238	238		41201	839
"Everett"		61	61041202	"041202Everett"	3168	4113	4737	3392		41202	840
"Everett"		61	61041303	"041303Everett"	3534	1805	0	3665	"Supressed - capacity for 3,665 jobs"	41303	843
"Everett"		61	61041304	"041304Everett"	1665	1161	0	20113	"Suppressed - capacity for 20,113 jobs +"	41304	844
"Everett"		61	61041400	"041400Everett"	3416	2490	2281	2586		41400	847
"Everett"		61	61041500	"041500Everett"	1568	848	667	667	"steep slopes, streams, floodplain"	41500	848
"Everett"		61	61041601	"041601Everett"	964	638	795	420		41601	850
"Everett"		61	61041605	"041605Everett"	1041	1041	953	868		41605	852
"Everett"		61	61041606	"041606Everett"	985	985	514	514		41606	854
"Everett"		61	61041701	"041701Everett"	2341	1569	2965	2230	"little capacity"	41701	861
"SnoCo"		61	61041704	"041704Mill Creek"	948	1348			"2040 households are low by 300 to 500 in this tract. Tract shows a decline in households from 2010 to 2040, including a sizeable decline in TAZ 2475, \n an area with a large number of relatively new apartments near the Mill Creek Town Center."	41704	865
"Everett"		61	61041805	"041805Everett"	3315	4528	9575	8642		41805	867
"Everett"		61	61041806	"041806Everett"	3856	2516	3261	2556		41806	868
"Everett"		61	61041808	"041808Everett"	1286	643	109	52	"Entirely residential and built out."	41808	870
"SnoCo"		61	61041811	"041811Snohomish Co Urban"	2966				"TAZ 2481 is within the sub-regional center at 128th and I-5. LUV forecast shows a slight decline in households from 2010 to 2040 there. \nWe expect growth of roughly 400 households. The tract level allocation is ok."	41811	876
"Everett"		61	61041901	"041901Everett"	0	0	0	7005	"Suppressed - capacity for 7,005  jobs"	41901	879
"Everett"		61	61041903	"041903Everett"	3933	3105	2724	2491	"Swamp Creek and wetlands, Large park"	41903	882
"Everett"		61	61041904	"041904Everett"	2999	4012	2800	2403		41904	884
"Everett"		61	61041905	"041905Everett"	3280	3472	0	1060	"Suppressed - capacity for 1,060 jobs"	41905	885
"Edmonds"		61	61050402	"050402Edmonds"	3177	3377	3153	3853	"PSRC est doesn't reflect plan/zoning potential. 2040 jobs are low by 500 to 1,000 jobs in this tract.\n In particular, TAZ 2627 shows a large decline from 2010 to 2040. This TAZ includes a hospital and is along the SR 99 transit corridor."	50402	906
"Edmonds"		61	61050500	"050500Edmonds"	4542	3742	4947	3847	"PSRC est doesn't reflect plan/zoning potential Generally, the dataset estimated too much HH and Job growth downtown and not enough\n in the Swedish Hosptial / Highway 99 area."	50500	907
"Edmonds"		61	61050900	"050900Edmonds"	1682	2282	1759	2159	"PSRC est doesn't reflect plan/zoning potential"	50900	919
"SnoCo"		61	61051912	"051912Snohomish Co Urban"			3906		"2040 jobs are low in this tract by roughly 1,500 jobs. This is the main part of the Maltby UGA. Based on TAZ review, 2040 jobs seem low throughout the Maltby UGA."	51912	957
"Mill Creek"		61	61052003	"052003Mill Creek"	1717	1717	97	97	"Strong. 244 new residential units.  15,000 retail"	52003	994
"Mill Creek"		61	61052004	"052004Mill Creek"	2897	2897	1139	1139	"Some.  25 new homes.  6,410 sf retail"	52004	997
"Everett"		61	61052104	"052104Everett"	4	4	496	2424		52104	1004
"Everett"		61	61052105	"052105Everett"	4	4	0	0	"Suppressed - agricultural floodplain capacity for 0 addit jobs"	52105	1009
"SnoCo"		61	61053301	"053301Stanwood"			5929		"Job growth in Stanwood concentrated in TAZ 2100. Should it be balanced across the UGA?"	53301	1130
"SnoCo"		61	61053504	"053504Arlington"	3223	3723			"2040 households are low by roughly 500 in this tract. This tract, and TAZ 2116 in particular, includes a large amount residential capacity in undeveloped land."	53504	1136
"SnoCo"		61	61053802	"053802Sultan"			3192		"Is there a lot of job growth post-2035 in this tract?"	53802	1171
"Everett"		61	61053803	"053803Everett"	0	0	52	35	"Lake Chaplain"	53803	1172
"Fife"		53	53060200	"060200Fife"	3	3	142	20	"Jobs based on SEPA checklist for new Indstl bldg"	60200	1177
"Fife"		53	53070703	"070703Fife"	13	0	154	0	"All property owned by WSDOT for Hwy 167 extension"	70703	1309
"SnoCo"		61	61940001	"940001Snohomish Co Rural"			10567	14000	"2040 jobs are low by 3,000 to 4,000 jobs. The total jobs in 2040 in the two tracts on the reservation are lower than the 2030 target for the Tulalip Tribes.\n The shortfall is mostly explained by the huge decline from 2010 to 2040 in TAZ 2172, where Quilced"	940001	1697
"Fife"		53	53940002	"940002Fife"	875	888	13188	13188	"Added HH from 070703"	940002	1700
"Fife"		53	53940009	"940009Fife"	315	315	1593	1770	"Increased jobs to 60% due to planned development"	940009	1722
"Fife"		53	53940010	"940010Fife"	514	514	1272	1075	"JObs decreased to match total allocated for Fife"	940010	1726
		33		"023100Bellevue"	1588	1408	261	204		23100	281
		33		"023201Bellevue"	2894	2757	1362	1486		23201	283
		33		"023202Bellevue"	2473	2183	3079	2944		23202	284
		33		"023300Bellevue"	2383	2249	1840	1449		23300	285
		33		"023401Bellevue"	1750	3226	12598	15268	"Bellevue College has plans to add 1,100 dorm rooms; Eastgate subarea plan uped zoning in Comp Plan"	23401	286
		33		"023403Bellevue"	1760	1585	8242	8791		23403	287
		33		"023500Bellevue"	1650	1481	584	515		23500	293
		33		"023601Bellevue"	2107	3205	11626	12532	"Wilburton area projected to get more growth by 2040 due to proximty to Downtown, BelRed and light rail stations - zoning will be relooked at this fall"	23601	294
		33		"023603Bellevue"	2740	2589	2789	2513		23603	295
		33		"023604Bellevue"	2946	2555	1323	1069		23604	296
		33		"023700Bellevue"	4701	9094	41317	43258	"BelRed permits and master plans projected to get more growth"	23700	297
		33		"023801Bellevue"	1518	1716	7840	8899	"East Main light rail station area expected to get more growth"	23801	301
		33		"023803Bellevue"	8670	6298	19605	16583		23803	302
		33		"023804Bellevue"	8544	7924	63860	62259		23804	303
		33		"023900Bellevue"	3069	2721	763	668		23900	305
		33		"024000Bellevue"	3850	3391	6090	5267		24000	309
		33		"024701Bellevue"	1798	1500	701	612		24701	342
		33		"024702Bellevue"	1157	969				24702	343
		33		"024800Bellevue"	2834	2622	11285	12542	"New Eastgate designations adopted in Comp Plan add capacity."	24800	348
		33		"024901Bellevue"	2038	1803	720	604		24901	349
		33		"024902Bellevue"	1494	1339	271	172		24902	350
		33		"024903Bellevue"	2610	2309	561	495		24903	351
		33		"025001Bellevue"	919	809				25001	353
		33		"025003Bellevue"	2266	1845	1131	716		25003	355
		33		"025006Bellevue"	603	421	123	102		25006	363
		53		"060200Pierce Co Urban"	81	87	110	80	"exceeds job capacity (0); only residential zoning;  increase HH to eliminate negative"	60200	1178
		53		"062802Pierce Co Urban"	9	9	75	25	"job growth seems very high; small area that is mostly built out"	62802	1221
		53		"070100Pierce Co Rural"	1352	1352	888	668		70100	1240
		53		"070203Pierce Co Rural"	863	1363	130	140	"falling water vested development approved for 900+ units, some already built"	70203	1245
		53		"070206Pierce Co Rural"	1195	1195	260	270		70206	1256
		53		"070207Pierce Co Rural"	268	268	75	85		70207	1262
		53		"070307Pierce Co Rural"	1605	1755	520	530	"incr HH based on Pierce Co Forecast"	70307	1267
		53		"070309Pierce Co Urban"	115	91	47	47	"exceeds housing capacity (26)"	70309	1272
		53		"070310Pierce Co Rural"	0	1	0	0	"increase HH to eliminate negative"	70310	1274
		53		"070310Pierce Co Urban"	1327	1327	280	185	"exceeds job capacity (0); only residential zoning"	70310	1275
		53		"070311Pierce Co Rural"	916	958	263	263	"increase HH to eliminate negative"	70311	1277
		53		"070311Pierce Co Urban"	459	459	95	65	"exceeds job capacity (0); only residential zoning"	70311	1278
		53		"070312Pierce Co Rural"	190	190	254	314	"shouldn’t be losing jobs"	70312	1280
		53		"070312Pierce Co Urban"	5	5	83	104	"shouldn’t be losing jobs"	70312	1281
		53		"070313Pierce Co Rural"	1142	1392	422	422	"increase HH to eliminate negative"	70313	1284
		53		"070313Pierce Co Urban"	818	418	233	193	"decrease hh per Pierce County forecast; exceeds job capacity (15)"	70313	1285
		53		"070314Pierce Co Urban"	342	342	107	77	"exceeds job capacity (4)"	70314	1288
		53		"070315Pierce Co Rural"	507	535	267	267	"increase HH to eliminate negative"	70315	1292
		53		"070315Pierce Co Urban"	870	520	344	144	"decrease hh per Pierce County forecast; exceeds job capacity (0)"	70315	1293
		53		"070401Pierce Co Rural"	965	965	563	652	"jobs shouldn’t be negative"	70401	1299
		53		"070404Pierce Co Rural"	422	483	88	88	"shouldn’t be losing hh"	70404	1305
		53		"071205Pierce Co Rural"	1372	1552	493	493	"increase HH to eliminate negative"	71205	1314
		53		"071206Pierce Co Rural"	675	805	229	229	"increase HH to eliminate negative"	71206	1317
		53		"071206Pierce Co Urban"	1206	1206	711	817	"increase jobs to eliminate negative"	71206	1318
		53		"071208Pierce Co Urban"	2950	2950	753	953	"Urban Village: increase job growth;"	71208	1322
		53		"071304Pierce Co Urban"	2783	2783	1067	1667	"Urban Village: increase job growth;"	71304	1329
		53		"071305Pierce Co Urban"	879	879	1504	2004	"increase jobs to eliminate negative"	71305	1332
		53		"071307Pierce Co Urban"	2410	2410	953	1053		71307	1335
		53		"071309Pierce Co Urban"	1901	1901	1383	1233	"decrease jobs - mostly residential; exceeds job capacity (747)"	71309	1337
		53		"071406Pierce Co Rural"	225	275	138	179	"increase HH R5 more growth"	71406	1342
		53		"071406Pierce Co Urban"	4250	3450	5754	5754	"decrease hh per Pierce County forecast"	71406	1343
		53		"071407Pierce Co Rural"	1281	1361	299	299	"increase HH R5 more growth"	71407	1344
		53		"071602Pierce Co Rural"	32	32	360	240	"jobs too high for such a small geography of rural (R10)"	71602	1361
		53		"072109Pierce Co Rural"	116	21	9	4	"Major constraints on Ketron Island"	72109	1407
		53		"072405Pierce Co Rural"	1760	1760	542	562		72405	1441
		53		"072406Pierce Co Rural"	1651	1651	601	621		72406	1443
		53		"072407Pierce Co Rural"	829	829	641	661		72407	1446
		53		"072409Pierce Co Rural"	1013	1013	329	349		72409	1454
		53		"072504Pierce Co Rural"	1424	1424	602	652		72504	1462
		53		"072505Pierce Co Rural"	1153	1153	426	446		72505	1466
		53		"072506Pierce Co Rural"	1394	1394	274	294		72506	1471
		53		"072601Pierce Co Rural"	2476	2376	781	781	"reduce HH  - very rural"	72601	1479
		53		"072602Pierce Co Rural"	2488	1888	937	862	"reduce HH and jobs - very rural"	72602	1481
		53		"072603Pierce Co Rural"	3962	2562	1764	1514	"reduce HH and jobs - very rural"	72603	1484
		53		"073001Pierce Co Rural"	2128	2238	770	790		73001	1510
		53		"073005Pierce Co Rural"	2160	2320	582	602		73005	1513
		53		"073006Pierce Co Rural"	1963	1963	764	784		73006	1514
		53		"073113Pierce Co Rural"	1257	1257	594	614		73113	1519
		53		"073114Pierce Co Rural"	1853	1883	358	378		73114	1521
		53		"073115Pierce Co Rural"	1447	1468	397	417	"increase HH to eliminate negative"	73115	1523
		53		"073116Pierce Co Rural"	1637	1637	347	367		73116	1524
		53		"073117Pierce Co Rural"	1492	1602	800	820		73117	1525
		53		"073118Pierce Co Rural"	1739	1849	572	592		73118	1526
		53		"073119Pierce Co Rural"	1493	1563	769	789		73119	1527
		53		"073124Pierce Co Rural"	534	564	563	583		73124	1533
		53		"073125Pierce Co Rural"	155	177	23	23	"increase HH to eliminate negative"	73125	1535
		53		"073200Pierce Co Rural"	2084	2084	699	749		73200	1539
		53		"940004Pierce Co Rural"	2629	2689	1386	1386		940004	1710
		53		"071407Pierce Co Urban"	1031	1031	169	119	"exceeds job capacity (0); only residential zoning"	71407	1345
		53		"071408Pierce Co Urban"	1619	1639	1358	1268	"exceeds job capacity (236)"	71408	1346
		53		"071410Pierce Co Urban"	2949	2949	787	1107	"increase jobs to eliminate negative"	71410	1349
		53		"071411Pierce Co Urban"	2120	1720	842	842	"decrease jobs per PC forecast"	71411	1351
		53		"071503Pierce Co Urban"	2054	2122	2223	2423	"increase hh and jobs to eliminate negative"	71503	1353
		53		"071504Pierce Co Urban"	1560	1710	2336	2547	"increase hh and jobs to eliminate negative"	71504	1354
		53		"071506Pierce Co Urban"	1984	2004	334	244	"exceeds job capacity (0); only residential zoning"	71506	1357
		53		"071703Pierce Co Urban"	534	604	173	153	"exceeds job capacity (20)"	71703	1365
		53		"071704Pierce Co Urban"	1322	1547	323	323	"increase hh to eliminate negative"	71704	1368
		53		"071705Pierce Co Urban"	1363	1413	1000	1150		71705	1370
		53		"071706Pierce Co Urban"	602	642	373	373		71706	1374
		53		"071707Pierce Co Urban"	975	1108	912	912	"increase HH to eliminate negative"	71707	1375
		53		"071803Pierce Co Urban"	224	224	36	211	"increase jobs to eliminate negative"	71803	1377
		53		"072105Pierce Co Urban"	64	48	10	7	"Chambers creek park land no future development here--there are no homes or jobs in this area, just open space/HH and jobs should be 0"	72105	1395
		53		"072109Pierce Co Urban"	14	14	41	41	"should not have any HH or jobs/Bridge and water"	72109	1408
		53		"072112Pierce Co Urban"	753	842	76	76	"increase HH to eliminate negative"	72112	1415
		53		"072308Pierce Co Urban"	0	0	7	7	"should not have any HH or jobs/Bridge and water"	72308	1424
		53		"072407Pierce Co Urban"	613	613	326	266	"exceeds job capacity (0); only residential zoning"	72407	1447
		53		"072408Pierce Co Urban"	89	99	869	269	"increase HH to eliminate negative; decrease jobs--small geography and majority of it is the golf course"	72408	1451
		53		"072504Pierce Co Urban"	104	104	355	455		72504	1463
		53		"073110Pierce Co Urban"	1551	1551	444	404	"exceeds job capacity (0)"	73110	1517
		53		"073111Pierce Co Urban"	1607	1627	511	561		73111	1518
		53		"073113Pierce Co Urban"	2655	3855	353	353	"incr hh Sunrise/Lipoma/Daybreak-3200 pipeline HH"	73113	1520
		53		"073120Pierce Co Urban"	1579	1579	1465	1315	"exceeds job capacity (589)"	73120	1528
		53		"073121Pierce Co Urban"	1779	1809	3815	2565	"decrease jobs - mostly residential; exceeds job capacity (600)"	73121	1529
		53		"073122Pierce Co Urban"	1637	2067	1744	2044	"incr hh and jobs - Sunrise/Thun Field"	73122	1530
		53		"073123Pierce Co Urban"	3062	3282	638	638	"pipeline projects-increase HH"	73123	1532
		53		"073126Pierce Co Urban"	1611	1147	426	426	"exceeds housing capacity (20)-the MPC is built out and the rest is industrial zone that prohibits housing"	73126	1537
		53		"073301Pierce Co Urban"	13	9	83	83	"housing should be 0 or negative, this is an industrial area"	73301	1543
		53		"073408Pierce Co Urban"	279	279	203	110	"exceeds job capacity (52)"	73408	1558
		53		"940001Pierce Co Urban"	1032	978	194	232	"exceeds housing capacity (126)"	940001	1696
		53		"940002Pierce Co Urban"	1657	1393	441	441	"exceeds housing capacity (658)"	940002	1703
		53		"940011Pierce Co Urban"	10	5	2	2	"exceeds housing capacity (1)"	940011	1732
"Tukwila"		33				0		310			416
"Tukwila"		33				757		10949			411
"Tukwila"		33				1321		8654			434
"Tukwila"		33				101		241			433
"Tukwila"		33				1481		517			437
"Tukwila"		33				170		408			451
"Tukwila"		33				2315		1152			453
"Tukwila"		33				5366		24521			408
"Tukwila"		33				899		12294			457
"Pacific"			600	"030902Pacific"	1874	1940		330	"Currently 2 Mixed-Use zones, 130 jobs (City: 37)"		600
"Pacific"			597	"030901Pacific"	252	278	1155	1155	"Many 16,000 s.f. lots, one 15 lot subdivision"		597
"Pacific"			1542	"073301Pacific"	45	2	4639	5184	"No residential zoning, much vacant land"		1542
"Bonney Lake"			1268	"070308Bonney Lake"	1982	1822	769	674	"maybe some changes as indicated on HH, keep jobs as is"		1268
"Bonney Lake"			1283	"070313Bonney Lake"	1142	1012	309	291			1283
"Bonney Lake"			1270	"070309Bonney Lake"	2187	2798	1671	1600			1270
"Bonney Lake"			1276	"070311Bonney Lake"	218	651	178	392			1276
"Bonney Lake"			1279	"070312Bonney Lake"	2256	2204	664	390			1279
"Bonney Lake"			1273	"070310Bonney Lake"	1093	1883	1910	2154			1273
"Bonney Lake"			1264	"070307Bonney Lake"	119	115		0			1264
"Kenmore"			198	"021500Kenmore"	495	382	290	253			198
"Kenmore"			200	"021600Kenmore"	2632	3620	2647	5312			200
"Kenmore"			203	"021700Kenmore"	4393	3940	4893	2963			203
"Kenmore"			228	"022101Kenmore"	2472	2278	1103	370			228
"Kenmore"			236	"022102Kenmore"	2322	2093	741	409			236
"Kenmore"			239	"022300Kenmore"	0	0	73	439			239
