FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
3030	4048	4212	4375	4539	4703	4867	5030	5194	5358	5521	5685	5990	6295	6600	6905	7210	7515	7820	8125	8430	8735	8704	8674	8643	8613	8582	8551	8521	8490	8460	8429
3045	1596	1644	1693	1741	1790	1838	1886	1935	1983	2032	2080	2204	2328	2452	2576	2701	2825	2949	3073	3197	3321	3274	3228	3181	3134	3088	3041	2994	2947	2901	2854
3046	3172	3494	3815	4137	4459	4781	5102	5424	5746	6067	6389	6395	6401	6407	6413	6419	6425	6431	6437	6443	6449	6434	6418	6403	6388	6373	6357	6342	6327	6311	6296
3110	549	652	755	859	962	1065	1168	1271	1375	1478	1581	1687	1793	1899	2005	2112	2218	2324	2430	2536	2642	2649	2657	2664	2671	2679	2686	2693	2700	2708	2715
3120	12417	12695	12974	13252	13531	13809	14087	14366	14644	14923	15201	15597	15993	16389	16785	17181	17576	17972	18368	18764	19160	18649	18137	17626	17114	16603	16091	15580	15068	14557	14045
3130	7847	8457	9067	9677	10287	10897	11506	12116	12726	13336	13946	14412	14878	15344	15810	16277	16743	17209	17675	18141	18607	18816	19025	19234	19443	19653	19862	20071	20280	20489	20698
3200	3462	3627	3791	3956	4121	4286	4450	4615	4780	4944	5109	5189	5268	5348	5428	5508	5587	5667	5747	5826	5906	6025	6145	6264	6383	6503	6622	6741	6860	6980	7099
3310	473	533	593	653	713	773	832	892	952	1012	1072	1187	1303	1418	1533	1649	1764	1879	1994	2110	2225	2288	2351	2414	2477	2540	2602	2665	2728	2791	2854
3320	576	657	738	819	900	982	1063	1144	1225	1306	1387	1612	1837	2062	2287	2512	2736	2961	3186	3411	3636	3708	3780	3852	3924	3996	4068	4140	4212	4284	4356
3330	738	806	875	943	1011	1080	1148	1216	1284	1353	1421	1484	1548	1611	1675	1738	1801	1865	1928	1992	2055	2069	2083	2098	2112	2126	2140	2154	2169	2183	2197
3413	668	676	684	692	700	709	717	725	733	741	749	786	824	861	898	936	973	1010	1047	1085	1122	1158	1193	1229	1264	1300	1335	1371	1406	1442	1477
3414	682	816	950	1084	1218	1353	1487	1621	1755	1889	2023	2023	2023	2022	2022	2022	2022	2022	2021	2021	2021	2048	2075	2102	2129	2156	2183	2210	2237	2264	2291
3415	822	1154	1486	1818	2150	2483	2815	3147	3479	3811	4143	4075	4007	3939	3871	3803	3734	3666	3598	3530	3462	3492	3522	3551	3581	3611	3641	3671	3700	3730	3760
3416	926	1045	1163	1282	1400	1519	1637	1756	1874	1993	2111	2200	2290	2379	2469	2558	2647	2737	2826	2916	3005	2988	2972	2955	2939	2922	2905	2889	2872	2856	2839
3425	421	513	604	696	788	880	971	1063	1155	1246	1338	1448	1558	1667	1777	1887	1997	2107	2216	2326	2436	2452	2468	2485	2501	2517	2533	2549	2566	2582	2598
3426	1053	1097	1141	1186	1230	1274	1318	1362	1407	1451	1495	1526	1557	1588	1619	1650	1680	1711	1742	1773	1804	1889	1975	2060	2146	2231	2316	2402	2487	2573	2658
3427	638	737	837	936	1036	1135	1234	1334	1433	1533	1632	1804	1976	2148	2320	2493	2665	2837	3009	3181	3353	3535	3717	3899	4081	4263	4445	4627	4809	4991	5173
3505	8116	8727	9338	9949	10560	11171	11781	12392	13003	13614	14225	14413	14602	14790	14979	15167	15355	15544	15732	15921	16109	16164	16219	16274	16329	16385	16440	16495	16550	16605	16660
3600	28179	29427	30676	31924	33172	34421	35669	36917	38165	39414	40662	41246	41831	42415	43000	43584	44168	44753	45337	45922	46506	46238	45971	45703	45436	45168	44900	44633	44365	44098	43830
3705	24677	25309	25941	26573	27205	27837	28469	29101	29733	30365	30997	31347	31697	32048	32398	32748	33098	33448	33799	34149	34499	33713	32927	32141	31355	30569	29783	28997	28211	27425	26639
3706	2334	2356	2377	2399	2421	2443	2464	2486	2508	2529	2551	2654	2756	2859	2961	3064	3166	3269	3371	3474	3576	3494	3412	3330	3248	3166	3083	3001	2919	2837	2755
3815	6526	6802	7079	7355	7631	7908	8184	8460	8736	9013	9289	9234	9179	9124	9069	9014	8958	8903	8848	8793	8738	8646	8554	8462	8370	8279	8187	8095	8003	7911	7819
3816	2797	2879	2961	3043	3125	3207	3289	3371	3453	3535	3617	3592	3566	3541	3516	3491	3465	3440	3415	3389	3364	3404	3444	3484	3524	3565	3605	3645	3685	3725	3765
3825	4795	4917	5039	5160	5282	5404	5526	5648	5769	5891	6013	5993	5974	5954	5934	5915	5895	5875	5855	5836	5816	5986	6156	6326	6496	6667	6837	7007	7177	7347	7517
3900	16419	17073	17727	18381	19035	19689	20342	20996	21650	22304	22958	23096	23234	23373	23511	23649	23787	23925	24064	24202	24340	23942	23544	23146	22748	22351	21953	21555	21157	20759	20361
3905	20307	20791	21274	21758	22241	22725	23208	23692	24175	24659	25142	24689	24235	23782	23328	22875	22421	21968	21514	21061	20607	20329	20051	19773	19495	19217	18939	18661	18383	18105	17827
4005	680	734	789	843	898	952	1006	1061	1115	1170	1224	1253	1281	1310	1339	1368	1396	1425	1454	1482	1511	1491	1470	1450	1430	1410	1389	1369	1349	1328	1308
4110	13558	13927	14296	14666	15035	15404	15773	16142	16512	16881	17250	18374	19497	20621	21744	22868	23991	25115	26238	27362	28485	28297	28109	27921	27733	27545	27356	27168	26980	26792	26604
4120	1165	1328	1490	1653	1815	1978	2140	2303	2465	2628	2790	2788	2785	2783	2780	2778	2776	2773	2771	2768	2766	2760	2753	2747	2740	2734	2728	2721	2715	2708	2702
4130	25735	26209	26684	27158	27632	28107	28581	29055	29529	30004	30478	29960	29443	28925	28408	27890	27372	26855	26337	25820	25302	24965	24628	24290	23953	23616	23279	22942	22604	22267	21930
4210	983	1091	1198	1306	1413	1521	1628	1736	1843	1951	2058	2265	2471	2678	2885	3092	3298	3505	3712	3918	4125	4090	4055	4020	3985	3951	3916	3881	3846	3811	3776
4225	715	767	818	870	922	974	1025	1077	1129	1180	1232	1294	1355	1417	1479	1541	1602	1664	1726	1787	1849	1884	1919	1954	1989	2024	2058	2093	2128	2163	2198
4226	543	617	690	764	837	911	984	1058	1131	1205	1278	1326	1374	1422	1470	1518	1565	1613	1661	1709	1757	1847	1937	2027	2117	2207	2297	2387	2477	2567	2657
4230	342	380	417	455	493	531	568	606	644	681	719	799	879	959	1039	1120	1200	1280	1360	1440	1520	1551	1582	1613	1644	1675	1706	1737	1768	1799	1830
4300	3498	3857	4217	4576	4935	5295	5654	6013	6372	6732	7091	7315	7539	7763	7987	8211	8434	8658	8882	9106	9330	9253	9176	9099	9022	8945	8868	8791	8714	8637	8560
4400	4317	4474	4632	4789	4947	5104	5261	5419	5576	5734	5891	6084	6277	6471	6664	6857	7050	7243	7437	7630	7823	7811	7798	7786	7773	7761	7748	7736	7723	7711	7698
4505	214	247	280	313	346	379	412	445	478	511	544	595	645	696	746	797	848	898	949	999	1050	1079	1108	1136	1165	1194	1223	1252	1280	1309	1338
4506	8526	9707	10888	12068	13249	14430	15611	16792	17972	19153	20334	20923	21513	22102	22691	23281	23870	24459	25048	25638	26227	26455	26684	26912	27140	27369	27597	27825	28053	28282	28510
4605	640	827	1013	1200	1386	1573	1759	1946	2132	2319	2505	3200	3894	4589	5283	5978	6673	7367	8062	8756	9451	9884	10317	10750	11183	11616	12049	12482	12915	13348	13781
4606	689	729	769	809	849	889	929	969	1009	1049	1089	1336	1582	1829	2075	2322	2569	2815	3062	3308	3555	3517	3479	3441	3403	3365	3326	3288	3250	3212	3174
4607	622	737	852	967	1082	1197	1311	1426	1541	1656	1771	1994	2217	2440	2663	2887	3110	3333	3556	3779	4002	4114	4225	4337	4448	4560	4671	4783	4894	5006	5117
4706	520	571	621	672	723	774	824	875	926	976	1027	1134	1241	1348	1455	1563	1670	1777	1884	1991	2098	2103	2109	2114	2119	2125	2130	2135	2140	2146	2151
4810	4775	5013	5251	5490	5728	5966	6204	6442	6681	6919	7157	7186	7215	7245	7274	7303	7332	7361	7391	7420	7449	7384	7319	7254	7189	7125	7060	6995	6930	6865	6800
4820	1855	2114	2373	2633	2892	3151	3410	3669	3929	4188	4447	4598	4749	4900	5051	5202	5352	5503	5654	5805	5956	5835	5715	5594	5473	5353	5232	5111	4990	4870	4749
4900	10937	12117	13297	14478	15658	16838	18018	19198	20379	21559	22739	23665	24591	25518	26444	27370	28296	29222	30149	31075	32001	32784	33567	34350	35133	35916	36699	37482	38265	39048	39831
5010	7987	8614	9240	9867	10493	11120	11747	12373	13000	13626	14253	14367	14482	14596	14710	14825	14939	15053	15167	15282	15396	14936	14476	14016	13556	13096	12636	12176	11716	11256	10796
5020	3376	3639	3902	4164	4427	4690	4953	5216	5478	5741	6004	6091	6179	6266	6353	6441	6528	6615	6702	6790	6877	6947	7016	7086	7155	7225	7295	7364	7434	7503	7573
5100	422	477	533	588	643	699	754	809	864	920	975	1012	1050	1087	1124	1162	1199	1236	1273	1311	1348	1355	1362	1369	1376	1384	1391	1398	1405	1412	1419
5205	18795	19341	19886	20432	20977	21523	22069	22614	23160	23705	24251	25024	25797	26570	27343	28117	28890	29663	30436	31209	31982	31330	30677	30025	29372	28720	28068	27415	26763	26110	25458
5305	5987	6748	7508	8269	9030	9791	10551	11312	12073	12833	13594	14267	14939	15612	16284	16957	17629	18302	18974	19647	20319	20055	19792	19528	19264	19001	18737	18473	18209	17946	17682
5306	6413	6724	7035	7346	7657	7968	8279	8590	8901	9212	9523	10258	10993	11728	12463	13199	13934	14669	15404	16139	16874	16699	16523	16348	16172	15997	15822	15646	15471	15295	15120
5415	3748	5517	7286	9055	10824	12593	14361	16130	17899	19668	21437	23162	24888	26613	28338	30064	31789	33514	35239	36965	38690	39704	40717	41731	42744	43758	44772	45785	46799	47812	48826
5425	10201	10717	11233	11748	12264	12780	13296	13812	14327	14843	15359	16528	17697	18866	20035	21204	22373	23542	24711	25880	27049	26695	26342	25988	25634	25281	24927	24573	24219	23866	23512
5426	2382	2813	3243	3674	4104	4535	4965	5396	5826	6257	6687	7297	7908	8518	9128	9739	10349	10959	11569	12180	12790	12684	12577	12471	12365	12259	12152	12046	11940	11833	11727
5515	1151	1369	1586	1804	2021	2239	2456	2674	2891	3109	3326	3370	3414	3458	3502	3546	3589	3633	3677	3721	3765	3866	3968	4069	4171	4272	4373	4475	4576	4678	4779
5525	1206	1333	1459	1586	1712	1839	1965	2092	2218	2345	2471	2792	3112	3433	3753	4074	4394	4715	5035	5356	5676	5638	5601	5563	5525	5488	5450	5412	5374	5337	5299
5535	2210	2431	2652	2873	3094	3315	3535	3756	3977	4198	4419	4528	4638	4747	4856	4966	5075	5184	5293	5403	5512	5389	5265	5142	5018	4895	4772	4648	4525	4401	4278
5545	943	1126	1310	1493	1677	1860	2043	2227	2410	2594	2777	2897	3017	3137	3257	3377	3496	3616	3736	3856	3976	3918	3860	3802	3744	3687	3629	3571	3513	3455	3397
5546	5421	5672	5923	6173	6424	6675	6926	7177	7427	7678	7929	8352	8775	9197	9620	10043	10466	10889	11311	11734	12157	11880	11603	11326	11049	10772	10495	10218	9941	9664	9387
5600	2313	2747	3181	3614	4048	4482	4916	5350	5783	6217	6651	7079	7507	7934	8362	8790	9218	9646	10073	10501	10929	11107	11285	11463	11641	11820	11998	12176	12354	12532	12710
5715	684	692	700	708	716	724	731	739	747	755	763	825	887	950	1012	1074	1136	1198	1261	1323	1385	1447	1508	1570	1631	1693	1755	1816	1878	1939	2001
5716	4619	4721	4824	4926	5029	5131	5233	5336	5438	5541	5643	5708	5772	5837	5902	5967	6031	6096	6161	6225	6290	6376	6462	6549	6635	6721	6807	6893	6980	7066	7152
5720	5345	5480	5616	5751	5887	6022	6157	6293	6428	6564	6699	6894	7089	7283	7478	7673	7868	8063	8257	8452	8647	8712	8776	8841	8905	8970	9034	9099	9163	9228	9292
5815	22825	22921	23017	23113	23209	23306	23402	23498	23594	23690	23786	23908	24030	24152	24274	24396	24518	24640	24762	24884	25006	24799	24591	24384	24176	23969	23762	23554	23347	23139	22932
5825	36307	36521	36735	36949	37163	37377	37591	37805	38019	38233	38447	39192	39937	40683	41428	42173	42918	43663	44409	45154	45899	45334	44768	44203	43637	43072	42506	41941	41375	40810	40244
5826	5624	5887	6149	6412	6674	6937	7200	7462	7725	7987	8250	8187	8123	8060	7997	7934	7870	7807	7744	7680	7617	7436	7256	7075	6895	6714	6533	6353	6172	5992	5811
5915	3910	3959	4008	4057	4106	4155	4203	4252	4301	4350	4399	4445	4490	4536	4581	4627	4672	4718	4763	4809	4854	4728	4602	4477	4351	4225	4099	3973	3848	3722	3596
5916	3636	3805	3974	4143	4312	4482	4651	4820	4989	5158	5327	5333	5339	5346	5352	5358	5364	5370	5377	5383	5389	5459	5528	5598	5667	5737	5807	5876	5946	6015	6085
5925	11401	11493	11586	11678	11770	11863	11955	12047	12139	12232	12324	12793	13262	13732	14201	14670	15139	15608	16078	16547	17016	17026	17036	17046	17056	17066	17075	17085	17095	17105	17115
