commute_id	origin_district_id	destination_district_id	commute_trips
10003	10	3	1011
10004	10	4	1624
10005	10	5	2894
10006	10	6	12873
10007	10	7	1801
10008	10	8	6622
10009	10	9	3802
10010	10	10	35593
10011	10	11	16674
10012	10	12	10659
10013	10	13	6286
10014	10	14	523
10015	10	15	927
10016	10	16	365
10017	10	17	415
10018	10	18	167
10019	10	19	442
11001	11	1	37
11002	11	2	53
11003	11	3	62
11004	11	4	82
11005	11	5	124
11006	11	6	481
11007	11	7	128
11008	11	8	546
11009	11	9	441
11010	11	10	1069
11011	11	11	16789
11012	11	12	3307
11013	11	13	881
11014	11	14	54
11015	11	15	108
11016	11	16	41
11017	11	17	59
11018	11	18	24
11019	11	19	87
12001	12	1	96
12002	12	2	200
12003	12	3	282
12004	12	4	497
12005	12	5	864
12006	12	6	3948
12007	12	7	1020
12008	12	8	5315
12009	12	9	4231
12010	12	10	7277
12011	12	11	29029
12012	12	12	35769
12013	12	13	9333
12014	12	14	705
12015	12	15	1122
12016	12	16	430
12017	12	17	501
12018	12	18	198
12019	12	19	278
13001	13	1	193
13002	13	2	319
13003	13	3	576
13004	13	4	779
13005	13	5	1366
13006	13	6	5927
13007	13	7	1398
13008	13	8	9045
13009	13	9	8784
13010	13	10	9894
13011	13	11	22722
13012	13	12	19172
13013	13	13	54360
13014	13	14	3033
13015	13	15	4977
13016	13	16	1928
13017	13	17	2069
13018	13	18	726
13019	13	19	488
14001	14	1	35
14002	14	2	71
14003	14	3	99
14004	14	4	225
14005	14	5	340
14006	14	6	1609
14007	14	7	480
14008	14	8	2624
14009	14	9	3979
14010	14	10	2604
14011	14	11	5056
14012	14	12	4593
14013	14	13	7041
14014	14	14	5828
14015	14	15	4523
14016	14	16	1573
14017	14	17	1837
14018	14	18	571
14019	14	19	117
15001	15	1	244
15002	15	2	279
15003	15	3	405
15004	15	4	482
15005	15	5	789
15006	15	6	2653
15007	15	7	1011
15008	15	8	5746
15009	15	9	10408
15010	15	10	4192
15011	15	11	7925
15012	15	12	6905
15013	15	13	10075
15014	15	14	3394
15015	15	15	35928
15016	15	16	6865
15017	15	17	14668
15018	15	18	3940
15019	15	19	521
16001	16	1	321
16002	16	2	391
16003	16	3	518
16004	16	4	572
16005	16	5	898
16006	16	6	2543
16007	16	7	1843
16008	16	8	8560
16009	16	9	17235
16010	16	10	2989
16011	16	11	4668
16012	16	12	4277
16013	16	13	6812
16014	16	14	2063
16015	16	15	12204
16016	16	16	22085
16017	16	17	13268
16018	16	18	6690
16019	16	19	457
17001	17	1	35
17002	17	2	44
17003	17	3	49
17004	17	4	104
17005	17	5	136
17006	17	6	580
17007	17	7	323
17008	17	8	1624
17009	17	9	3345
17010	17	10	839
17011	17	11	1761
17012	17	12	1435
17013	17	13	1875
17014	17	14	660
17015	17	15	5967
17016	17	16	2803
17017	17	17	20964
17018	17	18	4603
17019	17	19	56
18001	18	1	385
18002	18	2	483
18003	18	3	524
18004	18	4	518
18005	18	5	792
18006	18	6	2000
18007	18	7	1497
18008	18	8	5501
18009	18	9	11859
18010	18	10	2181
18011	18	11	3398
18012	18	12	3005
18013	18	13	4478
18014	18	14	1295
18015	18	15	10318
18016	18	16	7877
18017	18	17	24551
18018	18	18	51841
18019	18	19	543
19001	19	1	8246
19002	19	2	3246
19003	19	3	10010
19004	19	4	2358
19005	19	5	1562
19006	19	6	2622
19007	19	7	429
19008	19	8	1414
19009	19	9	1411
19010	19	10	3528
19011	19	11	15319
19012	19	12	4953
19013	19	13	2410
19014	19	14	624
19015	19	15	2432
19016	19	16	595
19017	19	17	882
19018	19	18	351
19019	19	19	90970
