faz_id	singlefamily_households_2000	singlefamily_households_2010	singlefamily_households_2020	singlefamily_households_2025	singlefamily_households_2030	singlefamily_households_2035	singlefamily_households_2040
3415.0	5560.0	6380.0	8154.0	8775.0	9283.0	9794.0	10222.0
3320.0	7818.0	9083.0	10116.0	10473.0	10824.0	11227.0	11616.0
3505.0	4698.0	5411.0	7395.0	8153.0	8652.0	8894.0	9209.0
3414.0	5833.0	6170.0	7417.0	7829.0	8061.0	8229.0	8352.0
6900.0	2476.0	2640.0	2910.0	3087.0	3343.0	3735.0	4291.0
2940.0	4538.0	5432.0	6409.0	7173.0	8134.0	9347.0	10823.0
2216.0	5333.0	6015.0	6782.0	7125.0	7529.0	7928.0	8368.0
3046.0	4255.0	4178.0	4630.0	4740.0	4865.0	4911.0	4916.0
2225.0	3895.0	4560.0	5512.0	5934.0	6507.0	7332.0	8417.0
3426.0	4156.0	5007.0	6322.0	7089.0	7563.0	7936.0	8400.0
3427.0	5312.0	6686.0	7595.0	7980.0	8304.0	8582.0	8917.0
3045.0	6105.0	6095.0	6883.0	7200.0	7493.0	7767.0	7901.0
3310.0	4379.0	6086.0	6951.0	7188.0	8196.0	9434.0	10923.0
3030.0	9287.0	10483.0	13101.0	14522.0	15996.0	17239.0	18151.0
3130.0	2643.0	2572.0	2900.0	2985.0	3111.0	3169.0	3178.0
3010.0	9926.0	9563.0	10495.0	10840.0	11277.0	11765.0	12185.0
3020.0	3600.0	3579.0	3849.0	3965.0	4052.0	4086.0	4110.0
3425.0	3565.0	4558.0	5457.0	6070.0	6615.0	7108.0	7432.0
2100.0	5681.0	5689.0	6485.0	6673.0	6830.0	7074.0	7374.0
1606.0	3838.0	3756.0	4056.0	4112.0	4182.0	4250.0	4349.0
2215.0	4663.0	5045.0	5682.0	5914.0	6164.0	6372.0	6574.0
1720.0	8199.0	7913.0	8558.0	8554.0	8567.0	8529.0	8538.0
3120.0	4334.0	4206.0	4518.0	4625.0	4795.0	5310.0	6426.0
1900.0	44.0	44.0	47.0	47.0	48.0	46.0	45.0
3110.0	1774.0	1976.0	2375.0	2502.0	2553.0	2580.0	2619.0
3200.0	5936.0	6098.0	6797.0	7105.0	7481.0	7871.0	8539.0
1605.0	4219.0	4140.0	4423.0	4431.0	4445.0	4462.0	4477.0
2000.0	1322.0	2073.0	2682.0	3123.0	3531.0	3778.0	4118.0
1820.0	129.0	114.0	117.0	110.0	96.0	67.0	58.0
1200.0	4471.0	4728.0	5499.0	5820.0	6096.0	6300.0	6431.0
1710.0	5857.0	5670.0	6063.0	6095.0	6105.0	6046.0	6006.0
1810.0	258.0	239.0	243.0	240.0	232.0	204.0	177.0
900.0	2300.0	2362.0	2772.0	2951.0	3092.0	3167.0	3172.0
806.0	5330.0	9176.0	10589.0	11595.0	12541.0	13703.0	14877.0
1506.0	5146.0	5219.0	5795.0	5936.0	6098.0	6330.0	6500.0
1410.0	1900.0	1864.0	2015.0	2038.0	2059.0	2063.0	2065.0
1505.0	3994.0	4618.0	5089.0	5209.0	5345.0	5466.0	5524.0
1330.0	5513.0	5757.0	6435.0	6683.0	6952.0	7080.0	7192.0
1000.0	3248.0	3262.0	3526.0	3616.0	3694.0	3741.0	3820.0
1320.0	5704.0	5459.0	5907.0	5940.0	5945.0	5967.0	5979.0
1420.0	3020.0	2992.0	3150.0	3168.0	3155.0	3107.0	3091.0
1130.0	1198.0	1189.0	1565.0	1730.0	1934.0	2084.0	2121.0
1116.0	4088.0	4134.0	5355.0	5618.0	5779.0	5868.0	5893.0
1310.0	7826.0	7823.0	8805.0	8988.0	9137.0	9210.0	9245.0
805.0	5322.0	6159.0	7487.0	8112.0	8621.0	9090.0	9442.0
1115.0	2593.0	3240.0	4071.0	4614.0	5294.0	5786.0	6080.0
205.0	2253.0	2145.0	2330.0	2371.0	2426.0	2414.0	2398.0
136.0	2481.0	2287.0	2516.0	2529.0	2557.0	2570.0	2583.0
1120.0	6811.0	7238.0	9054.0	9975.0	10767.0	11411.0	12143.0
705.0	4958.0	6040.0	6510.0	7157.0	7779.0	9506.0	11698.0
120.0	3058.0	2988.0	3276.0	3377.0	3493.0	3648.0	3753.0
325.0	3155.0	3716.0	4344.0	4711.0	5216.0	5595.0	5820.0
135.0	5191.0	5131.0	5851.0	6040.0	6190.0	6254.0	6278.0
706.0	3911.0	4125.0	4464.0	4625.0	4912.0	5338.0	6164.0
206.0	2397.0	2216.0	2510.0	2567.0	2602.0	2603.0	2538.0
2910.0	580.0	1213.0	1276.0	1373.0	1484.0	1618.0	1984.0
315.0	3701.0	3478.0	4004.0	4132.0	4316.0	4502.0	4624.0
2935.0	4476.0	2154.0	2183.0	2201.0	2216.0	2236.0	2271.0
605.0	6089.0	6087.0	7241.0	7976.0	8821.0	9533.0	10144.0
606.0	3674.0	5202.0	6393.0	7538.0	8765.0	9859.0	11055.0
506.0	4855.0	6737.0	8087.0	8908.0	9800.0	10969.0	12813.0
110.0	868.0	808.0	927.0	953.0	973.0	960.0	902.0
505.0	8497.0	12986.0	14580.0	16244.0	18160.0	20197.0	22469.0
2936.0	661.0	1339.0	2023.0	2147.0	2266.0	2432.0	2666.0
405.0	5705.0	6447.0	7705.0	8573.0	9633.0	10672.0	11795.0
2926.0	7685.0	8217.0	8723.0	8889.0	9237.0	9774.0	10747.0
2925.0	4332.0	5325.0	5656.0	5824.0	6165.0	6954.0	9261.0
2927.0	1904.0	2101.0	2452.0	2709.0	3192.0	3941.0	6249.0
