faz_id	population_2000	population_2010	population_2020	population_2025	population_2030	population_2035	population_2040
6010.0	6069.0	8872.0	12069.0	13964.0	14672.0	15328.0	16518.0
4400.0	21758.0	22906.0	23835.0	24128.0	24286.0	24548.0	24440.0
9900.0	6675.0	6895.0	9690.0	10837.0	11406.0	11878.0	12222.0
9904.0	9762.0	9901.0	12543.0	13591.0	14214.0	14834.0	15910.0
9902.0	20847.0	20313.0	30016.0	31371.0	32149.0	32424.0	32904.0
4810.0	8768.0	9412.0	10836.0	11005.0	11172.0	11218.0	11417.0
5720.0	33868.0	35251.0	37643.0	38251.0	38614.0	38783.0	38552.0
9901.0	7171.0	6295.0	8251.0	9253.0	10168.0	11746.0	14468.0
5826.0	4316.0	4783.0	6037.0	6035.0	6418.0	6671.0	6724.0
5825.0	1930.0	1936.0	3262.0	3555.0	3735.0	3731.0	3722.0
5925.0	24207.0	25759.0	26226.0	26263.0	26633.0	27327.0	27287.0
9015.0	12908.0	14040.0	15067.0	15768.0	16595.0	17260.0	17328.0
4506.0	15793.0	16301.0	18051.0	18373.0	18746.0	19213.0	19996.0
4605.0	19987.0	24226.0	24900.0	25828.0	26796.0	27672.0	28798.0
9002.0	21796.0	23650.0	34246.0	38535.0	41842.0	44779.0	47503.0
4226.0	14364.0	15175.0	18367.0	19543.0	20382.0	20825.0	20910.0
4505.0	15385.0	15851.0	17022.0	17217.0	17347.0	17472.0	17646.0
4225.0	10973.0	16774.0	17454.0	18137.0	18978.0	19885.0	21034.0
5716.0	24027.0	25616.0	26151.0	26263.0	26380.0	26584.0	26809.0
5916.0	33393.0	36550.0	37424.0	37536.0	37783.0	38362.0	38691.0
4300.0	10213.0	10035.0	11530.0	11956.0	12578.0	13276.0	13697.0
5815.0	4658.0	4954.0	5226.0	5266.0	5264.0	5396.0	5402.0
9004.0	14436.0	17716.0	18867.0	20028.0	21976.0	24604.0	27114.0
5715.0	16670.0	16704.0	18089.0	18178.0	18280.0	18304.0	18219.0
3330.0	12181.0	12291.0	13799.0	15089.0	16645.0	18051.0	18779.0
6506.0	13784.0	13936.0	15662.0	16488.0	17761.0	18869.0	20050.0
5915.0	18907.0	19460.0	21296.0	21455.0	21500.0	21582.0	21678.0
3905.0	7689.0	8690.0	11224.0	11739.0	11958.0	12166.0	12564.0
