faz_id	jobs_2000	jobs_2010	jobs_2020	jobs_2025	jobs_2030	jobs_2035	jobs_2040
806.0	2188.0	3726.0	4326.0	4563.0	4985.0	5226.0	5365.0
1506.0	3252.0	3530.0	4053.0	4215.0	4469.0	4854.0	4978.0
1410.0	12379.0	10732.0	14846.0	15486.0	15867.0	16486.0	17297.0
1505.0	4768.0	4188.0	5485.0	6299.0	6685.0	6820.0	6862.0
1330.0	3373.0	4752.0	5446.0	5557.0	5624.0	5827.0	6084.0
1000.0	2847.0	2572.0	3358.0	3379.0	3488.0	3543.0	3579.0
1320.0	4453.0	3830.0	4980.0	5051.0	5145.0	5472.0	5976.0
1420.0	13743.0	11933.0	15383.0	15972.0	17093.0	19316.0	25500.0
1130.0	1747.0	3313.0	3385.0	3594.0	3827.0	4098.0	5676.0
1116.0	6983.0	6171.0	8243.0	8452.0	8643.0	9235.0	9803.0
1310.0	4906.0	5288.0	7019.0	7084.0	7339.0	7898.0	8254.0
805.0	2551.0	4532.0	5155.0	5459.0	5541.0	5692.0	5860.0
1115.0	3823.0	4665.0	4748.0	4780.0	5215.0	5362.0	5792.0
205.0	11162.0	9994.0	13520.0	13693.0	13863.0	14326.0	14479.0
136.0	4331.0	4040.0	4710.0	4728.0	4738.0	4810.0	4848.0
1120.0	10698.0	10495.0	12968.0	13448.0	14233.0	15661.0	18631.0
705.0	1592.0	2276.0	2675.0	3073.0	3667.0	4709.0	5519.0
120.0	1488.0	1125.0	1468.0	1542.0	1577.0	1639.0	1721.0
325.0	4332.0	4082.0	4905.0	5001.0	5299.0	5894.0	6295.0
135.0	2586.0	2663.0	3251.0	3320.0	3426.0	3499.0	3815.0
706.0	3037.0	3066.0	3662.0	3704.0	3782.0	3899.0	4034.0
206.0	6982.0	6298.0	8134.0	8222.0	8579.0	9094.0	9795.0
2910.0	1152.0	591.0	933.0	1067.0	1101.0	1168.0	1206.0
315.0	7009.0	6076.0	7065.0	7831.0	8606.0	9567.0	10024.0
2935.0	9811.0	16393.0	19437.0	20664.0	21569.0	22229.0	22703.0
605.0	3046.0	3660.0	4043.0	4155.0	4299.0	4551.0	4664.0
606.0	2755.0	3688.0	3937.0	3976.0	4055.0	4436.0	5351.0
506.0	2499.0	4097.0	4609.0	5062.0	6082.0	8809.0	13714.0
110.0	880.0	689.0	1133.0	1177.0	1225.0	1307.0	1480.0
505.0	6161.0	9378.0	10624.0	12023.0	13805.0	17021.0	20919.0
2936.0	4224.0	3463.0	4616.0	4621.0	4630.0	4735.0	5194.0
405.0	3359.0	3566.0	3541.0	3815.0	4021.0	4438.0	4712.0
2926.0	2012.0	2054.0	2611.0	2839.0	3104.0	3291.0	3863.0
2925.0	2080.0	2201.0	2831.0	3086.0	3383.0	3776.0	3894.0
2927.0	1259.0	1350.0	1561.0	1647.0	1723.0	1770.0	1983.0
